B_exp (T),M_exp (emu/mol)
6.2799896484375,20470.658018720977
6.3010994140625,20480.45392476795
6.30765,20490.95244506737
6.3207111328125,20511.736310194774
6.3342611328125,20521.72306427383
6.34735546875,20533.066455397035
6.3594248046875,20543.895255740958
6.37150234375,20564.32321063872
6.3850923828125,20574.639880330837
6.3976158203125,20586.62622664301
6.4091671875,20596.482770226114
6.4212609375,20615.761345562387
6.43331875,20627.475292094172
6.4453576171875,20637.081169569166
6.457936328125,20647.457666381306
6.4800859375,20667.47787991981
6.4870888671875,20679.231272584224
6.50017734375,20697.666351756907
6.513252734375,20707.726702035827
6.526332421875,20717.394567792882
6.5393943359375,20727.396461841912
6.5514578125,20747.83636975835
6.563065234375,20758.260177986398
6.575140234375,20767.522580596946
6.588170703125,20777.502448688305
6.6092828125,20797.68850197515
6.61634140625,20807.266565000784
6.627886328125,20816.912788062793
6.63991796875,20837.474347407733
6.66258515625,20846.215009491196
6.677149609375,20865.742882398787
6.691740234375,20874.799681157594
6.69924140625,20885.5509033617
6.711300390625,20904.52216898682
6.723387109375,20914.745052415372
6.7364609375,20923.786384621304
6.758038671875,20941.13038668477
6.765062109375,20952.538389757516
6.77766796875,20961.14478240356
6.790273828125,20971.080511559143
6.8118546875,20989.094580804085
6.825931640625,21000.287719466993
6.832980859375,21016.636961191103
6.845034765625,21026.323693933722
6.857091796875,21036.531255321825
6.8696546875,21045.63708048921
6.882228125,21064.178596853162
6.895310546875,21073.03366125972
6.907398828125,21081.49484512086
6.927480078125,21100.396005363888
6.935005859375,21110.20036797712
6.94858984375,21119.766457233058
6.97021484375,21135.57926281615
6.976741796875,21145.73146905704
6.996816015625,21154.913052736665
7.012943359375,21172.23349773194
7.028994140625,21190.657640329864
7.036034375,21199.264954651328
7.049126953125,21207.75228076625
7.060191015625,21217.65510594784
7.078257421875,21235.616406596615
7.0953609375,21243.088111257104
7.1024125,21253.54666369135
7.125496484375,21269.46905472259
7.132025,21280.113094326058
7.144616796875,21296.13995500328
7.15720625,21305.07621651491
7.169273046875,21314.277433712206
7.181318359375,21321.738009223995
7.19236875,21329.434754960523
7.202927734375,21338.2084572314
7.22352734375,21357.102923617495
7.23107265625,21364.468190663658
7.24413125,21381.522910946434
7.266773828125,21389.950493709817
7.273315625,21398.038982196485
7.285355078125,21415.447369108337
7.297916796875,21423.9505245414
7.30950625,21430.890201046583
7.3215640625,21439.915092012903
7.3341234375,21456.551602854892
7.346687109375,21466.443452827534
7.35875078125,21472.451970251608
7.370310546875,21480.97976998001
7.3829046875,21488.58981470105
7.39600625,21506.068111724933
7.418120703125,21515.123855935042
7.425119921875,21529.643727015908
7.4376828125,21539.69902871168
7.458291796875,21548.524565568645
7.4653453125,21563.061359645686
7.478428515625,21571.568060720398
7.491485546875,21580.36476521829
7.504059375,21589.80448350635
7.516092578125,21603.86062613045
7.537242578125,21611.105643166626
7.5447703125,21619.886918149034
7.556847265625,21636.75457806711
7.576441015625,21643.778819926047
7.583483984375,21652.946053591993
7.596048046875,21665.61965514277
7.61814921875,21675.62986542494
7.6377765625,21689.507035283434
7.644318359375,21696.536696422674
7.65635234375,21714.146723264785
7.67646640625,21721.842233473883
7.69151953125,21736.71754705168
7.698051953125,21744.070268816336
7.710163671875,21750.57368376719
7.72272890625,21759.035425825554
7.7352734375,21766.778121043288
7.74833046875,21783.522572305486
7.7709375,21788.115087850398
7.77697109375,21806.068731157913
7.798115625,21813.659998469735
7.81224765625,21827.253452517038
7.8308203125,21835.840604134613
7.846934375,21849.95243388878
7.854464453125,21857.6113952387
7.867033984375,21873.310265808977
7.879610546875,21880.24562668674
7.892683203125,21887.54974384903
7.905749609375,21895.395229343856
7.917803515625,21900.80859433294
7.928831640625,21917.11367441703
7.94038515625,21923.472690632287
7.9620171875,21931.55237437267
7.968560546875,21945.97867648817
7.980617578125,21954.303044380602
8.00021875,21960.25027204203
8.016301171875,21975.497865290887
8.033894140625,21989.839720895277
8.050473046875,21997.225823200344
8.0650578125,22010.662657201905
8.072617578125,22018.05731501473
8.08518515625,22024.676388143827
8.096740625,22031.65011857222
8.108788671875,22045.542362858618
8.129918359375,22053.793174291393
8.145509375,22068.032371907946
8.152522265625,22074.89208368324
8.17364140625,22087.857799873396
8.18922578125,22095.34907944248
8.195765234375,22103.093841474463
8.207840234375,22108.676876424972
8.21990390625,22123.295536891324
8.230960546875,22129.01390067203
8.25262109375,22136.545561559356
8.259155859375,22150.897443329115
8.270687890625,22157.48704603013
8.29180078125,22164.99678065057
8.298834765625,22171.345994112544
8.319467578125,22185.37884833983
8.335044921875,22199.423949526365
8.354152734375,22205.58571782422
8.369219921875,22219.927885380614
8.377252734375,22225.002825400243
8.3898203125,22238.900187278476
8.401376171875,22245.837508187065
8.42298046875,22250.31514818486
8.430040234375,22264.61215943523
8.453175390625,22272.28436973252
8.460194921875,22285.009533887995
8.47324453125,22291.232749089344
8.486802734375,22298.67619662676
8.499393359375,22304.22749418997
8.51196328125,22318.260305490945
8.533071875,22324.569580132295
8.540110546875,22337.041803686647
8.5526828125,22343.51652869679
8.56524609375,22351.179748486305
8.58535625,22363.227254624893
8.601446875,22371.200969092813
8.607985546875,22377.61671842496
8.6311078125,22390.95254365287
8.63865546875,22396.472048759213
8.6512171875,22408.95371530878
8.663290625,22416.176162556214
8.68491328125,22422.14734788879
8.69143671875,22433.26466532988
8.703478515625,22440.852209660683
8.716044921875,22448.213992128654
8.7291109375,22452.692418987604
8.7416625,22466.63153350882
8.754239453125,22473.765769803063
8.767856640625,22478.846417849916
8.780904296875,22483.698321724554
8.7924375,22498.42052798081
8.812575,22502.501003246205
8.83115234375,22515.549428844093
8.838729296875,22521.89808730081
8.850260546875,22527.90444240283
8.86179921875,22540.554108901182
8.882925390625,22545.917721084283
8.8899546875,22552.99837332171
8.902524609375,22564.327148185297
8.914095703125,22571.334053323233
8.935220703125,22577.04183851489
8.9422703125,22590.63865339404
8.955335546875,22596.053648772828
8.96688359375,22600.969417217788
8.988478515625,22613.278591580467
9.0000375,22619.505282061808
8.995732421875,22624.643406474617
8.99146328125,22623.3161137232
8.977126171875,22620.13616832673
8.963185546875,22607.752749577867
8.956225,22601.948848586737
8.943291015625,22594.939217190942
8.9298296875,22583.913640408817
8.91686484375,22576.331980652714
8.894953125,22563.843317426912
8.879512890625,22557.88115502543
8.8725328125,22552.827814090004
8.8605859375,22540.190456475917
8.849652734375,22533.718865316863
8.8287171875,22526.930568319236
8.822221484375,22521.13747651473
8.81076796875,22509.966913538163
8.799303125,22503.42790746919
8.7773890625,22498.061138494737
8.769384765625,22484.825898192874
8.746028125,22471.92802841202
8.730075,22466.7286814679
8.71165078125,22453.955848136462
8.704179296875,22446.902600099464
8.6927015625,22442.1910312628
8.681739453125,22428.208790662484
8.659793359375,22421.776524526827
8.645355859375,22408.368954701917
8.638361328125,22402.775455557603
8.625436328125,22397.843808655525
8.612489453125,22391.02648543925
8.6000140625,22379.133856769353
8.5875515625,22369.791400610517
8.5745734375,22363.76775988009
8.56161484375,22352.65510469295
8.55018671875,22344.435943316552
8.530754296875,22339.12018358328
8.52428046875,22331.591525711334
8.51283125,22318.93604794269
8.50136875,22312.573685819
8.4894015625,22304.83302683564
8.467490234375,22299.304515600645
8.46046796875,22286.64404953104
8.439076953125,22280.26106145475
8.432590625,22266.76633456439
8.42015,22259.641816117095
8.40721640625,22252.30655126516
8.39474453125,22246.86222813437
8.3823046875,22233.879488128696
8.370864453125,22225.625505683776
8.358908984375,22220.158718915576
8.335448828125,22206.223103194898
8.32003203125,22199.43902452245
8.305602734375,22185.027433922434
8.290182421875,22177.94235624925
8.274665625,22165.00385219353
8.266733984375,22159.35785275154
8.255266796875,22152.07060341979
8.243784765625,22138.676155067737
8.222340234375,22130.24555179719
8.215357421875,22124.83428418756
8.203883984375,22111.178260450884
8.19243828125,22103.129369322312
8.18047265625,22096.441160824972
8.159551171875,22081.98878694766
8.15256328125,22076.663017620263
8.1401109375,22070.497038135993
8.127166796875,22061.36726910954
8.114235546875,22048.516646833184
8.10176328125,22041.904888169996
8.089283984375,22034.361186383303
8.07682578125,22026.70147705937
8.064849609375,22020.15009351605
8.053412890625,22005.710150910527
8.042491796875,21998.341988366163
8.022047265625,21991.317011343286
8.01508125,21978.022386223714
8.002604296875,21968.791373558957
7.980190234375,21955.660589251023
7.972711328125,21948.363491348657
7.959761328125,21940.175836576123
7.947796484375,21934.12275930618
7.935800390625,21919.242937383686
7.92285234375,21911.472285175496
7.91193515625,21904.714801378403
7.89200390625,21896.696358549678
7.88503828125,21882.43389353233
7.863093359375,21874.879058491286
7.8491578125,21859.72720990343
7.84170078125,21852.25724627188
7.828252734375,21846.354257355066
7.815762109375,21829.18552196914
7.803275390625,21822.677376560012
7.781862890625,21816.340062652835
7.774383203125,21800.535746145764
7.762418359375,21793.41035713734
7.75097109375,21785.30778436265
7.73,21770.594312834954
7.715099609375,21762.41515780943
7.69814921875,21748.378617156617
7.68271015625,21741.266154088677
7.675746875,21724.533333959662
7.663776953125,21715.783588034425
7.643359375,21711.13527114952
7.635884765625,21692.950861560537
7.623430859375,21685.993703627333
7.612476953125,21676.294324162773
7.592033984375,21671.13341419155
7.5860484375,21655.235969245867
7.574074609375,21646.83486754389
7.56162890625,21638.542021867306
7.540180859375,21623.006696318804
7.525253515625,21614.25810845944
7.51827265625,21599.191471623544
7.50482109375,21591.250977438594
7.492861328125,21583.056598326
7.472458984375,21566.4354732589
7.465487890625,21559.855362779308
7.454045703125,21549.27880050726
7.432602734375,21535.78703550469
7.416650390625,21526.542911826695
7.400709375,21511.21868595023
7.385271484375,21504.34219384829
7.377775390625,21486.5075660205
7.36579453125,21478.72232340622
7.343377734375,21462.257432679253
7.336396484375,21453.37900460693
7.323947265625,21445.888306590907
7.30152109375,21429.186288758683
7.29504453125,21419.11101581868
7.275132421875,21411.941679614785
7.268652734375,21404.14298143116
7.24771640625,21387.26026122404
7.2318015625,21371.573799332185
7.2248296875,21360.43782689328
7.2133921875,21354.501893315195
7.192940234375,21336.035636874687
7.1859640625,21327.539302263176
7.17350546875,21320.298966804396
7.15257265625,21302.51156748856
7.14659609375,21295.100284900243
7.134651953125,21284.01711286207
7.11269140625,21268.52262091202
7.09578984375,21258.88999495485
7.089303515625,21242.276432414546
7.06786796875,21233.271284399543
7.060404296875,21224.072330949675
7.048947265625,21205.795047301202
7.0289921875,21197.96212982934
7.0220265625,21189.47756316539
7.00956484375,21170.550133438683
6.997625,21162.315599878817
6.9851625,21153.162900299256
6.964251953125,21135.780523194004
6.9567609375,21126.274941803098
6.932308984375,21108.335483225233
6.914894140625,21101.688313922976
6.89993984375,21081.13625244434
6.8835109375,21062.987009607146
6.87703359375,21054.714772183193
6.8650921875,21045.74243446659
6.844653125,21026.59684667936
6.83818671875,21018.858088703677
6.8167421875,21009.184956877314
6.801830078125,20991.817472917166
6.78587421875,20980.28609824107
6.7788828125,20961.436750965313
6.767412109375,20952.240758810713
6.7474921875,20942.040618761977
6.73305859375,20924.289424090188
6.725584375,20914.80275875454
6.712633984375,20904.90288766712
6.700180078125,20885.62898119695
6.6882265625,20876.130588275108
6.668273046875,20867.30109087206
6.66131796875,20847.8551697534
6.64836015625,20837.88134238182
6.636396875,20826.96394988541
6.62445859375,20818.196530972935
6.60351328125,20798.61239174056
6.58756484375,20790.263607548266
6.580594140625,20769.247298150705
6.568632421875,20759.423290084567
6.55671328125,20750.455253115822
6.535261328125,20729.665125701482
6.5203197265625,20720.518557531166
6.5048677734375,20701.592232395757
6.4884076171875,20689.446724963538
6.480407421875,20670.863272852675
6.4674470703125,20659.607918423295
6.45548203125,20649.781426334208
6.435053515625,20629.77883581314
6.4276171875,20619.282846419355
6.4151548828125,20609.073095649
6.4031943359375,20588.521208962804
6.39024453125,20578.24737998881
6.3777970703125,20568.651739438406
6.3653525390625,20558.73697907894
6.3438859375,20536.817291028496
6.3368974609375,20525.632232701868
6.3254330078125,20516.228757696335
6.3055369140625,20495.09161227319
6.2985740234375,20485.0145353027
6.2761419921875,20463.96180558132
6.26967890625,20453.2912301759
6.258711328125,20443.981815179413
6.2377734375,20431.914277132935
6.231303515625,20411.414113251685
6.2193537109375,20399.623213390838
6.20839765625,20389.175237529766
6.1879609375,20378.44482791613
6.1814751953125,20357.28700340531
6.1610361328125,20346.707224728478
6.1540654296875,20324.037884696172
6.132191796875,20312.384707370016
6.1247107421875,20300.614632982288
6.1122486328125,20279.986038880088
6.0997900390625,20268.79970859553
6.0773568359375,20246.965486341353
6.0708525390625,20235.105890817573
6.05939921875,20223.57472879752
6.0379267578125,20202.27209374228
6.0309484375,20191.17647214575
6.019008984375,20179.71100878399
6.00656484375,20168.755156237006
5.9861404296875,20145.322223914078
5.9711796875,20133.534340971357
5.9637029296875,20111.181636657686
5.951265625,20098.79741849203
5.9273375,20077.511006739333
5.9203548828125,20063.091768931685
5.8999431640625,20041.24442250776
5.8929685546875,20029.544459671866
5.880013671875,20017.96436099178
5.8585970703125,19993.885107729984
5.8426521484375,19982.386325753458
5.82669296875,19959.195511152793
5.8207025390625,19946.832811318494
5.8013373046875,19935.44264935865
5.78637265625,19911.248365808497
