Magnetic Field (Oe),Temperature (K),Moment (emu),M (emu/g)
16404.5092773438,2.99042355,0.652057231160747,22.7992038867394
16194.6811523438,2.9899156,0.65074653631344,22.7533753955748
16020.0283203125,2.9901996,0.647889012971575,22.6534619920131
15855.0014648438,2.9889275,0.646542416506084,22.6063781995134
15685.1655273438,2.9908535,0.64363482633999,22.504714207692
15535.697265625,2.9901733,0.640662103708554,22.4007728569424
15381.078125,2.9909341,0.639196376072272,22.3495236388906
15305.9868164062,2.9903365,0.637641273971677,22.2951494395691
15176.326171875,2.98948655,0.634641562978421,22.1902644398049
15056.4150390625,2.98966695,0.632987793445242,22.1324403302532
14852.0131835938,2.9893038,0.631410542243416,22.0772916868327
14701.5834960938,2.9896576,0.628116612682763,21.9621193245721
14631.6528320313,2.98940835,0.62654738907512,21.9072513662629
14506.8364257813,2.9896333,0.62497791243342,21.8523745606091
14376.9682617188,2.9902265,0.621426892563022,21.7282130266791
14252.3232421875,2.98998645,0.619795496512246,21.6711712067219
14047.8481445313,2.9892058,0.618075235771493,21.6110222297725
13897.6616210938,2.989253,0.614522439305887,21.4867985771289
13832.876953125,2.9899964,0.612718758711747,21.4237328220891
13728.1748046875,2.99005295,0.610890739221703,21.3598160567029
13538.328125,2.99084615,0.607151447367826,21.2290715862876
13393.5219726563,2.991771,0.605233869859028,21.1620234216443
13323.6767578125,2.9903854,0.603371277273796,21.0968978067761
13103.7646484375,2.9912755,0.599449812125119,20.9597836407384
13033.7172851562,2.9910557,0.597427220567185,20.8890636561953
12828.7509765625,2.9901892,0.59348388559198,20.7511848109084
12658.6357421875,2.9916959,0.5913759558809,20.6774809748566
12588.5512695313,2.99101365,0.587291254010737,20.5346592311446
12464.1044921875,2.99052355,0.585021534165961,20.4552983974112
12344.2622070312,2.9900713,0.582913061557901,20.3815755789476
12139.4760742187,2.9911466,0.578406975221263,20.2240201126316
12069.6748046875,2.99042285,0.576267781809621,20.1492231401965
11949.7104492187,2.9899659,0.574040786473453,20.0713561704005
11834.9262695313,2.990854,0.571615124731306,19.9865428227729
11619.9658203125,2.9898341,0.567056952831839,19.8271661829314
11555.189453125,2.99109485,0.564575246117734,19.7403932208998
11340.6518554688,2.9904122,0.559753870122996,19.5718136406642
11190.6391601562,2.9914908,0.557272098108463,19.4850383954008
11130.6674804688,2.9912102,0.554677897985413,19.3943320973921
11005.837890625,2.9911859,0.549530826575831,19.2143645655885
10881.0546875,2.9907323,0.546915074963282,19.1229047189959
10761.3305664062,2.99021695,0.544310007755303,19.0318184529826
10541.6899414062,2.9906834,0.538946149488604,18.84427096114
10476.7705078125,2.9919772,0.536088664716272,18.7443589061634
10356.87890625,2.9922179,0.533280470156291,18.646170285185
10231.7983398438,2.9903685,0.530583624262348,18.551874974208
10017.1459960938,2.9916825,0.524730770826274,18.3472297491704
9867.51416015625,2.9896266,0.519012151202876,18.1472780140866
9692.861328125,2.9907062,0.515927707960919,18.0394303482839
9617.7744140625,2.990559,0.513005889188638,17.9372688527496
9402.826171875,2.9925404,0.506590038219491,17.7129383992829
9343.087890625,2.9914459,0.503520190799993,17.6056010769228
9223.27294921875,2.99061545,0.500453510193705,17.4983744822974
9098.24853515625,2.9911443,0.493811000893565,17.2661189123624
8978.4775390625,2.99053895,0.490596918395486,17.1537384054366
8863.810546875,2.9912573,0.487177530128981,17.0341793751392
8658.32421875,2.9932311,0.480262577026321,16.7923977981231
8508.46484375,2.9911807,0.476875833494194,16.6739801921047
8348.857421875,2.993046,0.469634856750722,16.4207991870882
8193.85888671875,2.9910595,0.466076413138864,16.2963780817785
8123.87133789063,2.992228,0.462285249694111,16.1638199193745
7998.92407226563,2.9930813,0.454629933859874,15.896151533562
7779.49926757812,2.9924705,0.446904645376898,15.6260365516398
7699.51708984375,2.99347865,0.442943354712888,15.487529885066
7569.69116210937,2.99445415,0.439054263311104,15.3515476682204
7449.96313476563,2.99498475,0.435077454602453,15.2124984126732
7324.70190429688,2.9954554,0.426926021818203,14.9274832803568
7194.66821289063,2.99461605,0.422797201159821,14.7831189216721
7064.98901367187,2.9938574,0.418628391219142,14.6373563363336
6859.86694335938,2.9944811,0.410162660539169,14.3413517671038
6780.00830078125,2.9937347,0.405866094263375,14.1911221770411
6650.09497070312,2.9929218,0.401382633492044,14.0343578144071
6410.16162109375,2.9935889,0.392475531272624,13.722920673868
6340.27880859375,2.9936998,0.38784957107395,13.5611738137745
6220.27734375,2.9932964,0.383310699276101,13.4024720026609
6015.34814453125,2.9920485,0.373978460682653,13.0761699539389
5860.54956054687,2.9928675,0.364352197974274,12.7395873417578
5700.77490234375,2.9947128,0.359312432659639,12.563371771316
5626.1357421875,2.9944141,0.354391797182537,12.391321579809
5495.93139648438,2.9940007,0.344493178729541,12.0452160394944
5370.7900390625,2.9933059,0.339433217886843,11.8682943317078
5240.83813476562,2.99306665,0.334330275642215,11.6898697776998
5105.84350585937,2.99392925,0.323792561714518,11.3214182417664
4900.87231445313,2.9931414,0.318583509028718,11.1392835324727
4826.20703125,2.99273765,0.313315025846889,10.9550708338073
4716.2763671875,2.9927974,0.307937026801179,10.7670289091321
4521.25073242188,2.9941041,0.296886042899991,10.3806308706291
4356.20971679687,2.9930723,0.291413258872459,10.1892747857503
4291.1201171875,2.99402895,0.280117938892777,9.79433352771948
4166.26733398438,2.994216,0.274378151547194,9.5936416624893
4051.30004882812,2.99369455,0.268728914884267,9.3961159050443
3821.00244140625,2.9930363,0.256979593087553,8.98530045760675
3656.26037597656,2.9940856,0.245141766411719,8.57139043397619
3586.28930664063,2.99393325,0.239141747691672,8.36159956963888
3376.08203125,2.9948313,0.23312887444519,8.15135924633531
3226.29321289063,2.9932656,0.220963062028744,7.72598118981622
3166.62390136719,2.99370655,0.214764583687882,7.50925117789797
3051.37927246094,2.994768,0.208471875649844,7.28922642132322
