MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
36256,28125 3,0087247 0,785499498695838 27,4650174369174 2,75814277008898E-5
36331,34375 3,0088526 0,785804629101966 27,4756863322366 2,75244429955883E-5
36461,376953125 3,00865935 0,786561313997249 27,5021438460576 2,74262818237942E-5
36581,8671875 3,00799275 0,786876377115762 27,5131600390127 2,73359474756854E-5
36696,9296875 3,0077571 0,787217062774688 27,5250721249891 2,72502361509723E-5
36906,880859375 3,00811065 0,787946198362791 27,5505663763214 2,70952184718688E-5
37067,2890625 3,0072727 0,788227596185997 27,5604054610488 2,69779642723232E-5
37232,203125 3,0088661 0,78891618834548 27,5844821099818 2,68584697135083E-5
37302,3046875 3,0086646 0,789208085765553 27,5946883134809 2,68079950656534E-5
37522,513671875 3,0080004 0,789899046794374 27,6188477900131 2,66506665503476E-5
37587,42578125 3,007913 0,790291465458032 27,6325687223088 2,66046418240974E-5
37697,45703125 3,0080471 0,790574363674861 27,6424602683518 2,6526988257352E-5
37927,58203125 3,00982975 0,791196178962844 27,6642020616379 2,63660361785273E-5
37997,546875 3,00929645 0,791539569084831 27,6762087092598 2,63174884233892E-5
38122,775390625 3,0086731 0,791883309996189 27,6882276222444 2,62310387885851E-5
38243,142578125 3,0082376 0,792532065179188 27,7109113699017 2,61484787228756E-5
38363,123046875 3,0092894 0,792859184944891 27,7223491239472 2,60666994910222E-5
38493,279296875 3,0101463 0,793131788730856 27,7318807248551 2,59785608881908E-5
38703,232421875 3,0072767 0,793817127726113 27,7558436267872 2,58376351902536E-5
38843,521484375 3,0071635 0,794175627788639 27,7683785940084 2,5744318789486E-5
39003,8359375 3,0093176 0,794777365301717 27,7894183671929 2,56385039051648E-5
39083,892578125 3,0088466 0,795105975767271 27,8009082436109 2,55859878337628E-5
39208,8984375 3,00819015 0,79548007225782 27,8139885404832 2,55044145551303E-5
39404,265625 3,0085356 0,795957052491835 27,8306661710432 2,53779631250265E-5
39469,419921875 3,0092536 0,796318805771128 27,8433148871024 2,53360703547045E-5
39680,056640625 3,0094721 0,796622709489278 27,8539408912335 2,52015769296102E-5
39759,91796875 3,0079151 0,797243191919774 27,875636081111 2,515095732305E-5
39889,869140625 3,00801015 0,797499507953061 27,884598180177 2,50690218229262E-5
40009,8671875 3,0089208 0,797755481243925 27,8935482952421 2,4993834528709E-5
40220,068359375 3,0097232 0,798359376141902 27,9146635014651 2,48632098549606E-5
40300,337890625 3,0101185 0,798698554169791 27,9265228730696 2,48136877341822E-5
40440,40234375 3,0103203 0,799238969661598 27,9454185196363 2,47277460669119E-5
40570,466796875 3,0093168 0,79963662179532 27,9593224403958 2,46484716334845E-5
40690,6015625 3,00856915 0,799857251031986 27,9670367493701 2,45756995866483E-5
40815,650390625 3,0092869 0,800132155308004 27,9766487869931 2,45004058597506E-5
40940,212890625 3,00892235 0,800721367294061 27,9972506046875 2,4425862236515E-5
41065,43359375 3,0087253 0,800963235178305 28,005707523717 2,43513805282747E-5
41186,14453125 3,00927045 0,801280266423857 28,0167925323027 2,42800099737728E-5
41306,0859375 3,0099392 0,801544997151734 28,0260488514592 2,42095075653765E-5
41521,32421875 3,0096686 0,802156790885483 28,0474402407512 2,40840102962907E-5
41666,5078125 3,0092225 0,80244844968655 28,0576381009283 2,40000915003488E-5
41731,431640625 3,0081179 0,802740458962435 28,0678482154698 2,39627532698043E-5
41856,509765625 3,0078894 0,803388635648525 28,0905117359624 2,38911463377976E-5
42086,5859375 3,0098188 0,803580046211598 28,0972044129929 2,37605397949131E-5
42161,876953125 3,0088774 0,804189916827836 28,1185285604138 2,37181091608371E-5
42361,833984375 3,0085742 0,804460270564319 28,1279814882629 2,36061545486639E-5
42437 3,0092226 0,805059158667098 28,1489216317167 2,35643424370243E-5
